2025-09-07 16:18:33 [INFO] robots.txt loaded from https://robotwin-platform.github.io/robots.txt
2025-09-07 16:18:35 [INFO] Sitemap seeded: queue size now 1
2025-09-07 16:18:35 [INFO] Start crawl: base=https://robotwin-platform.github.io/doc/  out=/home/liwenbo/project/FlashRAG/construct_data/corpus_out
2025-09-07 16:19:34 [INFO] [70/2000000] Fetch #69: https://robotwin-platform.github.io/doc/tasks/rotate_qrcode.html (queue=11410)
2025-09-07 16:19:34 [INFO] [HEARTBEAT] pages=70 failed=0 chunks=70 deduped=1 queue~11541 elapsed=59.9s
2025-09-07 16:19:35 [INFO] [71/2000000] Fetch #70: https://robotwin-platform.github.io/doc/tasks/scan_object.html (queue=11540)
2025-09-07 16:19:36 [INFO] [72/2000000] Fetch #71: https://robotwin-platform.github.io/doc/tasks/shake_bottle_horizontally.html (queue=11669)
2025-09-07 16:19:37 [INFO] [73/2000000] Fetch #72: https://robotwin-platform.github.io/doc/tasks/shake_bottle.html (queue=11797)
2025-09-07 16:19:38 [INFO] [74/2000000] Fetch #73: https://robotwin-platform.github.io/doc/tasks/stack_blocks_three.html (queue=11924)
2025-09-07 16:19:38 [INFO] [75/2000000] Fetch #74: https://robotwin-platform.github.io/doc/tasks/stack_blocks_two.html (queue=12050)
2025-09-07 16:19:39 [INFO] [76/2000000] Fetch #75: https://robotwin-platform.github.io/doc/tasks/stack_bowls_three.html (queue=12175)
2025-09-07 16:19:40 [INFO] [77/2000000] Fetch #76: https://robotwin-platform.github.io/doc/tasks/stack_bowls_two.html (queue=12299)
2025-09-07 16:19:41 [INFO] [78/2000000] Fetch #77: https://robotwin-platform.github.io/doc/tasks/stamp_seal.html (queue=12422)
2025-09-07 16:19:42 [INFO] [79/2000000] Fetch #78: https://robotwin-platform.github.io/doc/tasks/turn_switch.html (queue=12544)
2025-09-07 16:19:43 [INFO] [80/2000000] Fetch #79: https://robotwin-platform.github.io/doc/tasks/move_pillbottle_pad.html (queue=12665)
2025-09-07 16:19:43 [INFO] [HEARTBEAT] pages=80 failed=0 chunks=80 deduped=1 queue~12785 elapsed=68.6s
2025-09-07 16:19:44 [INFO] [81/2000000] Fetch #80: https://robotwin-platform.github.io/doc/objects/001_bottle.html (queue=12783)
2025-09-07 16:19:45 [INFO] [82/2000000] Fetch #81: https://robotwin-platform.github.io/doc/objects/002_bowl.html (queue=12902)
2025-09-07 16:19:45 [INFO] [83/2000000] Fetch #82: https://robotwin-platform.github.io/doc/objects/003_plate.html (queue=13020)
2025-09-07 16:19:46 [INFO] [84/2000000] Fetch #83: https://robotwin-platform.github.io/doc/objects/004_fluted-block.html (queue=13137)
2025-09-07 16:19:47 [INFO] [85/2000000] Fetch #84: https://robotwin-platform.github.io/doc/objects/005_french-fries.html (queue=13253)
2025-09-07 16:19:48 [INFO] [86/2000000] Fetch #85: https://robotwin-platform.github.io/doc/objects/006_hamburg.html (queue=13368)
2025-09-07 16:19:49 [INFO] [87/2000000] Fetch #86: https://robotwin-platform.github.io/doc/objects/007_shoe-box.html (queue=13482)
2025-09-07 16:19:50 [INFO] [88/2000000] Fetch #87: https://robotwin-platform.github.io/doc/objects/008_tray.html (queue=13595)
2025-09-07 16:19:51 [INFO] [89/2000000] Fetch #88: https://robotwin-platform.github.io/doc/objects/009_kettle.html (queue=13707)
2025-09-07 16:19:51 [INFO] [90/2000000] Fetch #89: https://robotwin-platform.github.io/doc/objects/010_pen.html (queue=13818)
2025-09-07 16:19:52 [INFO] [HEARTBEAT] pages=90 failed=0 chunks=90 deduped=1 queue~13929 elapsed=77.3s
2025-09-07 16:19:52 [INFO] [91/2000000] Fetch #90: https://robotwin-platform.github.io/doc/objects/011_dustbin.html (queue=13928)
2025-09-07 16:19:53 [INFO] [92/2000000] Fetch #91: https://robotwin-platform.github.io/doc/objects/012_plant-pot.html (queue=14037)
2025-09-07 16:19:54 [INFO] [93/2000000] Fetch #92: https://robotwin-platform.github.io/doc/objects/013_dumbbell-rack.html (queue=14145)
2025-09-07 16:19:55 [INFO] [94/2000000] Fetch #93: https://robotwin-platform.github.io/doc/objects/014_bookcase.html (queue=14252)
2025-09-07 16:19:56 [INFO] [95/2000000] Fetch #94: https://robotwin-platform.github.io/doc/objects/015_laptop.html (queue=14358)
2025-09-07 16:19:57 [INFO] [96/2000000] Fetch #95: https://robotwin-platform.github.io/doc/objects/016_oven.html (queue=14463)
2025-09-07 16:19:58 [INFO] [97/2000000] Fetch #96: https://robotwin-platform.github.io/doc/objects/017_calculator.html (queue=14567)
2025-09-07 16:19:58 [INFO] [98/2000000] Fetch #97: https://robotwin-platform.github.io/doc/objects/018_microphone.html (queue=14670)
2025-09-07 16:19:59 [INFO] [99/2000000] Fetch #98: https://robotwin-platform.github.io/doc/objects/019_coaster.html (queue=14772)
2025-09-07 16:20:00 [INFO] [100/2000000] Fetch #99: https://robotwin-platform.github.io/doc/objects/020_hammer.html (queue=14873)
2025-09-07 16:20:01 [INFO] [HEARTBEAT] pages=100 failed=0 chunks=100 deduped=1 queue~14974 elapsed=86.0s
2025-09-07 16:20:01 [INFO] [101/2000000] Fetch #100: https://robotwin-platform.github.io/doc/objects/021_cup.html (queue=14973)
2025-09-07 16:20:02 [INFO] [102/2000000] Fetch #101: https://robotwin-platform.github.io/doc/objects/022_cup-with-liquid.html (queue=15072)
2025-09-07 16:20:03 [INFO] [103/2000000] Fetch #102: https://robotwin-platform.github.io/doc/objects/023_tissue-box.html (queue=15170)
